wallet,chain,time,transfer_type,transfer_method,token_name,token_symbol,amount,amount_usd
W25,bsc,2023-01-08 15:47:14,swap_in,in,CryptoZoon,ZOON,118160.943,79.53
W25,bsc,2023-01-08 20:15:07,swap_out,out,Wrapped BNB,WBNB,0.2187000118,58.42
W25,bsc,2023-01-08 20:15:07,swap_in,in,CryptoZoon,ZOON,78855.377,53.15
W25,bsc,2023-01-08 20:16:25,swap_out,out,Wrapped BNB,WBNB,0.4518248317,120.69
W25,bsc,2023-01-08 20:16:25,swap_in,in,CryptoZoon,ZOON,163040.9,109.90
W25,bsc,2023-01-08 23:03:13,swap_out,out,Wrapped BNB,WBNB,0.2024863157,54.86
W25,bsc,2023-01-08 23:03:13,swap_in,in,CryptoZoon,ZOON,73123.704,49.50
W25,bsc,2023-01-08 23:58:21,swap_out,out,Wrapped BNB,WBNB,0.33995511,92.11
W25,bsc,2023-01-08 23:58:21,swap_in,in,CryptoZoon,ZOON,122846.438,83.16
W25,bsc,2023-01-09 1:40:25,swap_out,out,Wrapped BNB,WBNB,0.1944745168,53.87
W25,bsc,2023-01-09 1:40:25,swap_in,in,CryptoZoon,ZOON,70319.912,48.71
W25,bsc,2023-01-09 2:03:02,swap_out,out,Wrapped BNB,WBNB,0.3465273376,96.74
W25,bsc,2023-01-09 2:03:02,swap_in,in,CryptoZoon,ZOON,125380.8009,86.84
W25,bsc,2023-01-09 2:48:17,swap_out,out,Wrapped BNB,WBNB,0.3514466243,98.11
W25,bsc,2023-01-09 2:48:17,swap_in,in,CryptoZoon,ZOON,127265.8,88.15
W25,bsc,2023-01-09 4:56:47,swap_out,out,Wrapped BNB,WBNB,0.02068666968,5.77
W25,bsc,2023-01-09 4:56:47,swap_in,in,CryptoZoon,ZOON,7498.117036,5.24
W25,bsc,2023-01-09 7:01:56,swap_out,out,Wrapped BNB,WBNB,0.002235279221,0.62
W25,bsc,2023-01-09 7:01:56,swap_in,in,CryptoZoon,ZOON,809.8180929,0.57
W25,bsc,2023-01-09 7:50:33,swap_in,in,Wrapped BNB,WBNB,0.5341918124,148.58
W25,bsc,2023-01-09 7:50:33,swap_out,out,CryptoZoon,ZOON,3848.896789,2.71
W25,bsc,2023-01-09 7:50:33,swap_out,out,CryptoZoon,ZOON,188595.9427,132.70
W25,bsc,2023-01-09 10:16:18,swap_in,in,Wrapped BNB,WBNB,0.1653933652,46.15
W25,bsc,2023-01-09 10:16:18,swap_out,out,CryptoZoon,ZOON,1190.688462,0.83
W25,bsc,2023-01-09 10:16:18,swap_out,out,CryptoZoon,ZOON,58343.73464,40.89
W25,bsc,2023-01-09 14:35:07,swap_in,in,Wrapped BNB,WBNB,0.03861502011,10.72
W25,bsc,2023-01-09 14:35:07,swap_out,out,CryptoZoon,ZOON,13618.4521,9.61
W25,bsc,2023-01-09 14:35:07,swap_out,out,CryptoZoon,ZOON,277.927594,0.20
W25,bsc,2023-01-09 17:21:12,swap_out,out,Wrapped BNB,WBNB,0.3148254406,88.79
W25,bsc,2023-01-09 17:21:12,swap_in,in,CryptoZoon,ZOON,113901.96,80.14
W25,bsc,2023-01-09 18:02:07,swap_out,out,Wrapped BNB,WBNB,0.00831260927,2.34
W25,bsc,2023-01-09 18:02:07,swap_in,in,CryptoZoon,ZOON,3008.6039,2.14
W25,bsc,2023-01-10 17:56:11,swap_in,in,Wrapped BNB,WBNB,0.006997556121,1.92
W25,bsc,2023-01-10 17:56:11,swap_out,out,CryptoZoon,ZOON,50.4,0.04
W25,bsc,2023-01-10 17:56:11,swap_out,out,CryptoZoon,ZOON,2469.6,1.73
W25,bsc,2023-01-11 3:43:29,swap_in,in,Wrapped BNB,WBNB,0.003699976779,1.02
W25,bsc,2023-01-11 3:43:29,swap_out,out,CryptoZoon,ZOON,1305.7912,0.92
W25,bsc,2023-01-11 3:43:29,swap_out,out,CryptoZoon,ZOON,26.6488,0.02
W25,bsc,2023-01-11 5:22:13,swap_in,in,Wrapped BNB,WBNB,0.3472490286,95.36
W25,bsc,2023-01-11 5:22:13,swap_out,out,CryptoZoon,ZOON,122500,85.86
W25,bsc,2023-01-11 5:22:13,swap_out,out,CryptoZoon,ZOON,2500,1.75
W25,bsc,2023-01-11 6:21:38,swap_out,out,Wrapped BNB,WBNB,0.4951500749,136.67
W25,bsc,2023-01-11 6:21:38,swap_in,in,CryptoZoon,ZOON,179166.1455,126.23
W25,bsc,2023-01-11 12:34:27,swap_in,in,Wrapped BNB,WBNB,0.03375155734,9.38
W25,bsc,2023-01-11 12:34:27,swap_out,out,CryptoZoon,ZOON,11915.22712,8.40
W25,bsc,2023-01-11 12:34:27,swap_out,out,CryptoZoon,ZOON,243.1679004,0.17
W25,bsc,2023-01-11 12:41:00,swap_in,in,Wrapped BNB,WBNB,0.000000001,0.00
W25,bsc,2023-01-11 12:41:00,swap_out,out,CryptoZoon,ZOON,0.0003530133896,0.00
W25,bsc,2023-01-11 12:41:00,swap_out,out,CryptoZoon,ZOON,0.00000720435489,0.00
W25,bsc,2023-01-11 15:59:35,swap_out,out,Wrapped BNB,WBNB,0.1285625197,35.74
W25,bsc,2023-01-11 15:59:35,swap_in,in,CryptoZoon,ZOON,46550,33.07
W25,bsc,2023-01-11 23:34:22,swap_out,out,Wrapped BNB,WBNB,0.3017048835,84.61
W25,bsc,2023-01-11 23:34:22,swap_in,in,CryptoZoon,ZOON,109297.139,77.12
W25,bsc,2023-01-12 4:34:10,swap_out,out,Wrapped BNB,WBNB,0.350108097,100.54
W25,bsc,2023-01-12 4:34:10,swap_in,in,CryptoZoon,ZOON,126929.8753,90.79
W25,bsc,2023-01-12 5:10:05,swap_out,out,Wrapped BNB,WBNB,0.2330804144,66.83
W25,bsc,2023-01-12 5:10:05,swap_in,in,CryptoZoon,ZOON,84560.5165,60.37
W25,bsc,2023-01-12 5:16:29,swap_out,out,Wrapped BNB,WBNB,0.02075708588,5.95
W25,bsc,2023-01-12 5:16:29,swap_in,in,CryptoZoon,ZOON,7532.844485,5.38
W25,bsc,2023-01-12 5:45:44,swap_out,out,Wrapped BNB,WBNB,0.320546883,91.91
W25,bsc,2023-01-12 5:45:44,swap_in,in,CryptoZoon,ZOON,116375,83.08
W25,bsc,2023-01-12 6:21:26,swap_out,out,Wrapped BNB,WBNB,0.01266536697,3.61
W25,bsc,2023-01-12 6:21:26,swap_in,in,CryptoZoon,ZOON,4599.998171,3.30
W25,bsc,2023-01-12 11:45:47,swap_out,out,Wrapped BNB,WBNB,0.07916714756,22.43
W25,bsc,2023-01-12 11:45:47,swap_in,in,CryptoZoon,ZOON,28756.24167,20.74
W25,bsc,2023-01-12 12:16:30,swap_out,out,Wrapped BNB,WBNB,0.03649869121,10.34
W25,bsc,2023-01-12 12:16:30,swap_in,in,CryptoZoon,ZOON,13259.40422,9.52
W25,bsc,2023-01-12 13:55:33,swap_out,out,Wrapped BNB,WBNB,0.2866548571,81.32
W25,bsc,2023-01-12 13:55:33,swap_in,in,CryptoZoon,ZOON,104177.1114,75.06
W25,bsc,2023-01-13 2:52:58,swap_out,out,Wrapped BNB,WBNB,0.03177459233,9.10
W25,bsc,2023-01-13 2:52:58,swap_in,in,CryptoZoon,ZOON,11552,8.37
W25,bsc,2023-01-13 3:13:19,swap_out,out,Wrapped BNB,WBNB,0.05055711282,14.52
W25,bsc,2023-01-13 3:13:19,swap_in,in,CryptoZoon,ZOON,18382.38522,13.39
W25,bsc,2023-01-13 8:27:30,swap_out,out,Wrapped BNB,WBNB,0.006355925413,1.83
W25,bsc,2023-01-13 8:27:30,swap_in,in,CryptoZoon,ZOON,2311.147913,1.68
W25,bsc,2023-01-13 10:43:30,swap_in,in,Wrapped BNB,WBNB,0.4064881576,116.96
W25,bsc,2023-01-13 10:43:30,swap_out,out,CryptoZoon,ZOON,2940,2.12
W25,bsc,2023-01-13 10:43:30,swap_out,out,CryptoZoon,ZOON,144060,104.10
W25,bsc,2023-01-13 14:36:43,swap_in,in,Wrapped BNB,WBNB,0.01383301304,3.95
W25,bsc,2023-01-13 14:36:43,swap_out,out,CryptoZoon,ZOON,4900,3.52
W25,bsc,2023-01-13 14:36:43,swap_out,out,CryptoZoon,ZOON,100,0.07
W25,bsc,2023-01-13 14:37:55,swap_out,out,Wrapped BNB,WBNB,0.02821674872,8.06
W25,bsc,2023-01-13 14:37:55,swap_in,in,CryptoZoon,ZOON,10250.42277,7.36
W25,bsc,2023-01-13 18:22:31,swap_out,out,Wrapped BNB,WBNB,0.01455191721,4.18
W25,bsc,2023-01-13 18:22:31,swap_in,in,CryptoZoon,ZOON,5286.607365,3.80
W25,bsc,2023-01-13 21:38:08,swap_out,out,Wrapped BNB,WBNB,0.2085320161,60.33
W25,bsc,2023-01-13 21:38:08,swap_in,in,CryptoZoon,ZOON,75778.213,54.78
W25,bsc,2023-01-14 0:25:13,swap_out,out,Wrapped BNB,WBNB,0.1821220968,53.49
W25,bsc,2023-01-14 0:25:13,swap_in,in,CryptoZoon,ZOON,66211.8175,48.07
W25,bsc,2023-01-14 0:39:16,swap_out,out,Wrapped BNB,WBNB,0.6617607186,194.36
W25,bsc,2023-01-14 0:39:16,swap_in,in,CryptoZoon,ZOON,240828.8247,174.83
W25,bsc,2023-01-14 0:39:37,swap_out,out,Wrapped BNB,WBNB,0.2290714109,67.28
W25,bsc,2023-01-14 0:39:37,swap_in,in,CryptoZoon,ZOON,83452.218,60.58
W25,bsc,2023-01-14 1:19:51,swap_out,out,Wrapped BNB,WBNB,0.2021672112,60.79
W25,bsc,2023-01-14 1:19:51,swap_in,in,CryptoZoon,ZOON,73688.574,54.01
W25,bsc,2023-01-14 1:19:54,swap_out,out,Wrapped BNB,WBNB,0.1053428854,31.68
W25,bsc,2023-01-14 1:19:54,swap_in,in,CryptoZoon,ZOON,38410.799,28.15
W25,bsc,2023-01-14 1:19:57,swap_out,out,Wrapped BNB,WBNB,0.03262164842,9.81
W25,bsc,2023-01-14 1:19:57,swap_in,in,CryptoZoon,ZOON,11896.66586,8.72
W25,bsc,2023-01-14 2:01:30,swap_out,out,Wrapped BNB,WBNB,0.4272828712,131.70
W25,bsc,2023-01-14 2:01:30,swap_in,in,CryptoZoon,ZOON,155909.2747,116.26
